fips_10,date,count
AY,20140710,9
AY,20140711,23
AY,20140712,7
AY,20140713,7
AY,20140714,4
AY,20140715,9
AY,20140716,10
AY,20140717,13
AY,20140718,8
AY,20140719,12
AY,20140720,2
AY,20140721,5
AY,20140722,16
AY,20140723,10
AY,20140724,11
AY,20140725,6
AY,20140726,4
AY,20140727,3
AY,20140728,4
AY,20140729,4
AY,20140730,1
AY,20140731,4
BA,20140701,157
BA,20140702,183
BA,20140703,199
BA,20140704,100
BA,20140705,113
BA,20140706,153
BA,20140707,509
BA,20140708,616
BA,20140709,612
BA,20140710,432
BA,20140711,268
BA,20140712,179
BA,20140713,168
BA,20140714,143
BA,20140715,185
BA,20140716,191
BA,20140717,135
BA,20140718,129
BA,20140719,125
BA,20140720,215
BA,20140721,150
BA,20140722,174
BA,20140723,135
BA,20140724,113
BA,20140725,286
BA,20140726,93
BA,20140727,95
BA,20140728,72
BA,20140729,47
BA,20140730,57
BA,20140731,54
BB,20140701,39
BB,20140702,59
BB,20140703,47
BB,20140704,62
BB,20140705,35
BB,20140706,39
BB,20140707,52
BB,20140708,70
BB,20140709,42
BB,20140710,28
BB,20140711,82
BB,20140712,29
BB,20140713,31
BB,20140714,39
BB,20140715,36
BB,20140716,26
BB,20140717,29
BB,20140718,16
BB,20140719,31
BB,20140720,31
BB,20140721,55
BB,20140722,44
BB,20140723,67
BB,20140724,44
BB,20140725,62
BB,20140726,10
BB,20140727,29
BB,20140728,35
BB,20140729,21
BB,20140730,45
BB,20140731,54
BC,20140701,129
BC,20140702,25
BC,20140703,66
BC,20140704,17
BC,20140705,5
BC,20140706,8
BC,20140707,85
BC,20140708,46
BC,20140709,27
BC,20140710,101
BC,20140711,38
BC,20140712,18
BC,20140713,11
BC,20140714,100
BC,20140715,35
BC,20140716,54
BC,20140717,114
BC,20140718,29
BC,20140719,6
BC,20140720,3
BC,20140721,12
BC,20140722,129
BC,20140723,40
BC,20140724,65
BC,20140725,23
BC,20140726,12
BC,20140727,12
BC,20140728,124
BC,20140729,17
BC,20140730,32
BC,20140731,36
BD,20140701,33
BD,20140702,43
BD,20140703,59
BD,20140704,110
BD,20140705,10
BD,20140706,29
BD,20140707,72
BD,20140708,49
BD,20140709,48
BD,20140710,107
BD,20140711,74
BD,20140712,16
BD,20140713,25
BD,20140714,32
BD,20140715,49
BD,20140716,68
BD,20140717,90
BD,20140718,64
BD,20140719,37
BD,20140720,10
BD,20140721,22
BD,20140722,27
BD,20140723,64
BD,20140724,34
BD,20140725,92
BD,20140726,12
BD,20140727,69
BD,20140728,33
BD,20140729,31
BD,20140730,86
BD,20140731,9
BE,20140701,431
BE,20140702,318
BE,20140703,334
BE,20140704,260
BE,20140705,152
BE,20140706,243
BE,20140707,410
BE,20140708,397
BE,20140709,361
BE,20140710,391
BE,20140711,658
BE,20140712,189
BE,20140713,99
BE,20140714,315
BE,20140715,511
BE,20140716,621
BE,20140717,495
BE,20140718,309
BE,20140719,186
BE,20140720,204
BE,20140721,337
BE,20140722,684
BE,20140723,531
BE,20140724,405
BE,20140725,331
BE,20140726,249
BE,20140727,156
BE,20140728,307
BE,20140729,494
BE,20140730,444
BE,20140731,309
BF,20140701,121
BF,20140702,97
BF,20140703,140
BF,20140704,134
BF,20140705,59
BF,20140706,27
BF,20140707,177
BF,20140708,151
BF,20140709,152
BF,20140710,93
BF,20140711,199
BF,20140712,50
BF,20140713,45
BF,20140714,201
BF,20140715,218
BF,20140716,236
BF,20140717,196
BF,20140718,176
BF,20140719,119
BF,20140720,52
BF,20140721,173
BF,20140722,159
BF,20140723,143
BF,20140724,186
BF,20140725,193
BF,20140726,98
BF,20140727,73
BF,20140728,243
BF,20140729,178
BF,20140730,235
BF,20140731,165
BG,20140701,282
BG,20140702,394
BG,20140703,397
BG,20140704,338
BG,20140705,226
BG,20140706,249
BG,20140707,352
BG,20140708,435
BG,20140709,339
BG,20140710,337
BG,20140711,464
BG,20140712,250
BG,20140713,297
BG,20140714,347
BG,20140715,271
BG,20140716,311
BG,20140717,359
BG,20140718,361
BG,20140719,303
BG,20140720,439
BG,20140721,401
BG,20140722,487
BG,20140723,451
BG,20140724,394
BG,20140725,313
BG,20140726,302
BG,20140727,233
BG,20140728,283
BG,20140729,262
BG,20140730,168
BG,20140731,347
BH,20140701,67
BH,20140702,94
BH,20140703,75
BH,20140704,81
BH,20140705,50
BH,20140706,27
BH,20140707,50
BH,20140708,44
BH,20140709,60
BH,20140710,67
BH,20140711,113
BH,20140712,60
BH,20140713,32
BH,20140714,46
BH,20140715,75
BH,20140716,104
BH,20140717,67
BH,20140718,51
BH,20140719,59
BH,20140720,11
BH,20140721,36
BH,20140722,82
BH,20140723,78
BH,20140724,60
BH,20140725,86
BH,20140726,43
BH,20140727,26
BH,20140728,18
BH,20140729,101
BH,20140730,90
BH,20140731,58
BK,20140701,64
BK,20140702,34
BK,20140703,85
BK,20140704,80
BK,20140705,52
BK,20140706,31
BK,20140707,75
BK,20140708,35
BK,20140709,44
BK,20140710,70
BK,20140711,165
BK,20140712,84
BK,20140713,21
BK,20140714,56
BK,20140715,79
BK,20140716,230
BK,20140717,125
BK,20140718,64
BK,20140719,38
BK,20140720,66
BK,20140721,54
BK,20140722,61
BK,20140723,63
BK,20140724,34
BK,20140725,81
BK,20140726,35
BK,20140727,43
BK,20140728,49
BK,20140729,45
BK,20140730,36
BK,20140731,64
BL,20140701,42
BL,20140702,28
BL,20140703,26
BL,20140704,29
BL,20140705,30
BL,20140706,14
BL,20140707,59
BL,20140708,51
BL,20140709,103
BL,20140710,76
BL,20140711,73
BL,20140712,17
BL,20140713,33
BL,20140714,15
BL,20140715,28
BL,20140716,36
BL,20140717,59
BL,20140718,49
BL,20140719,33
BL,20140720,30
BL,20140721,55
BL,20140722,88
BL,20140723,33
BL,20140724,46
BL,20140725,54
BL,20140726,16
BL,20140727,26
BL,20140728,43
BL,20140729,54
BL,20140730,71
BL,20140731,97
BM,20140701,229
BM,20140702,373
BM,20140703,450
BM,20140704,435
BM,20140705,270
BM,20140706,316
BM,20140707,407
BM,20140708,263
BM,20140709,268
BM,20140710,369
BM,20140711,646
BM,20140712,190
BM,20140713,207
BM,20140714,323
BM,20140715,328
BM,20140716,340
BM,20140717,341
BM,20140718,278
BM,20140719,178
BM,20140720,180
BM,20140721,279
BM,20140722,312
BM,20140723,257
BM,20140724,263
BM,20140725,374
BM,20140726,183
BM,20140727,161
BM,20140728,284
BM,20140729,346
BM,20140730,253
BM,20140731,207
BN,20140701,41
BN,20140702,92
BN,20140703,49
BN,20140704,48
BN,20140705,30
BN,20140706,22
BN,20140707,64
BN,20140708,44
BN,20140709,43
BN,20140710,43
BN,20140711,49
BN,20140712,47
BN,20140713,30
BN,20140714,65
BN,20140715,52
BN,20140716,45
BN,20140717,48
BN,20140718,36
BN,20140719,20
BN,20140720,34
BN,20140721,31
BN,20140722,45
BN,20140723,25
BN,20140724,18
BN,20140725,80
BN,20140726,6
BN,20140727,22
BN,20140728,39
BN,20140729,44
BN,20140730,44
BN,20140731,55
BO,20140701,178
BO,20140702,229
BO,20140703,161
BO,20140704,103
BO,20140705,77
BO,20140706,80
BO,20140707,119
BO,20140708,175
BO,20140709,181
BO,20140710,173
BO,20140711,128
BO,20140712,53
BO,20140713,47
BO,20140714,113
BO,20140715,163
BO,20140716,162
BO,20140717,150
BO,20140718,80
BO,20140719,36
BO,20140720,13
BO,20140721,115
BO,20140722,106
BO,20140723,225
BO,20140724,192
BO,20140725,233
BO,20140726,63
BO,20140727,32
BO,20140728,165
BO,20140729,139
BO,20140730,325
BO,20140731,307
BP,20140701,6
BP,20140702,4
BP,20140703,10
BP,20140704,20
BP,20140705,2
